title,company,location,stipend,skills
Video Editing/Making,Pure Cosmeceuticals Private Limited,Jaipur,"₹ 8,000 - 12,000 /month","Video Editing, Adobe Premiere Pro, Animation, Adobe After Effects"
Graphic Design,Enpointe,Mumbai,"₹ 10,001 - 12,002 /month","Adobe Photoshop, Adobe Illustrator, MS-PowerPoint, UI & UX Design, Storytelling, Design Thinking, Layout Design"
Business Development,Matsolvion Private Limited,Panvel,"₹ 10,000 - 12,000 /month","Digital Marketing, Web Design, Online Reputation Management, Procurement, Business Development, Sales, Content Editing"
Newsletter Operations,Giant Leap,Work from home,"₹ 3,000 - 5,000 /month","Email Marketing, Automation"
Social Media Marketing,Sedani Digital Private Limited,Ahmedabad,"₹ 5,000 /month","Social Media Marketing, Search Engine Marketing (SEM), Email Marketing"
Executive Assistant (Founders Office),Afforestt Eco Services Private Limited,Kashipur,"₹ 10,000 /month","MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Office Management"
Video Editing/Making,Kustard Technologies Private Limited,Hyderabad,"₹ 10,000 - 12,000 /month","Adobe Photoshop, Video Editing, Adobe Premiere Pro, Final Cut Pro, Adobe After Effects, Motion Graphics"
Video Editing/Making,Vkare Bio Sciences Private Limited,"Delhi, Ghaziabad, Noida","₹ 5,000 - 6,000 /month","Social Media Marketing, Adobe Illustrator, Video Editing, Final Cut Pro, Video Making, Content Management, Content Marketing"
Video Editing/Making,Higher Education Centre,Delhi,"₹ 8,000 - 14,000 /month","Adobe Photoshop, Adobe Illustrator, Adobe Premiere Pro, Adobe After Effects, Canva, Capcut"
Operations,ODN Digital Services Private Limited,Delhi,"₹ 6,000 - 10,000 /month","MS-Office, MS-PowerPoint, Time Management, Operations, MS-Excel, Report Writing, Marketing Strategy"
Interior Design,Acitystudio,"Patna, Bihar","₹ 8,000 - 12,000 /month","AutoCAD, Adobe Photoshop, Google SketchUp, Autodesk 3ds Max"
Administration,Next Step Talents Private Limited,"Kolkata, New Town","₹ 13,000 - 25,000 /month","MS-Office, MS-Word, MS-PowerPoint, MS-Excel, English Proficiency (Spoken)"
Video Editing/Making,Orvador,Mohali,"₹ 8,000 - 10,000 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making"
Talent Acquisition,Talent Corner HR Services,Mumbai,"₹ 3,000 - 5,000 /month","Effective Communication, Resume Screening, Interview Coordination"
Artificial Intelligence (AI),Assetcues Solutions Private Limited,Pune,"₹ 5,000 - 20,000 /month","Python, Machine Learning, Data Science, Natural Language Processing (NLP), Deep Learning, Artificial intelligence"
Video Editing/Making,Testline,Bangalore,"₹ 12,000 - 35,000 /month","Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making"
Business Development (Sales),SYKAM ASSETS MANAGEMENT (OPC) PRIVATE LIMITED,Hyderabad,"₹ 8,000 - 14,001 /month","Social Media Marketing, MS-Office, Digital Marketing, Email Marketing, MS-Excel, Client Relationship Management (CRM), Sales Management"
Sales,BNM Business Solutions LLP,"Navi Mumbai, Mumbai","₹ 28,000 - 40,000 /month","Negotiation, Client Interaction, Client Relationship, English Proficiency (Spoken), Effective Communication"
Database Building/Management,Dahlia Technologies Pvt. Ltd.,Ahmedabad,"₹ 10,000 - 15,000 /month","MS-Office, Operations, MS-Excel, Effective Communication"
Teaching,SR University,Warangal Urban,"₹ 20,000 /month","Java, Python, Algorithms, Data Structures, Teaching, C Programming, Web development"
Sales and Marketing,Fabapps Lab Pvt Ltd,Chandigarh,"₹ 20,000 - 25,000 /month","MS-Office, Canva, Interpersonal skills, Effective Communication"
Customer Service/Customer Support,Testline,Bangalore,"₹ 12,000 - 25,000 /month","Problem Solving, English Proficiency (Spoken), Hindi Proficiency (Spoken), Interpersonal skills, Effective Communication"
Field Marketing,Sabka Wellnesson Private Limited,Hyderabad,"₹ 12,000 - 30,000 /month","Sales Management, English Proficiency (Spoken), Hindi Proficiency (Spoken), Telugu Proficiency (Spoken), Interpersonal skills, Marketing, Effective Communication"
Telecalling,Careerline Education,Ahmedabad,"₹ 5,000 - 7,500 /month","MS-Office, MS-Excel, English Proficiency (Spoken), Adaptability, Self-learning"
Sales and Marketing,Tnath Private Limited,Bangalore,"₹ 12,000 - 37,000 /month","English Proficiency (Spoken), Sales, Marketing"
Graphic Design,Pratap Polysacks Limited,"Kolkata, Howrah, Bidhan Nagar","₹ 6,000 - 8,000 /month","Adobe Photoshop, Adobe Illustrator, Adobe Creative Suite"
Sales Operations,Grexa AI Private Limited,"Thane, Navi Mumbai, Mumbai","₹ 10,000 - 15,000 /month","Analytical Thinking, Problem Solving, Effective Communication"
Content Writing,Sahayak Associates,"Chandigarh, Mohali, Panchkula","₹ 5,000 - 10,000 /month","Search Engine Optimization (SEO), English Proficiency (Written)"
Architect,Invictus Global Tech,Chennai,"₹ 15,000 - 20,000 /month","AutoCAD, Adobe Photoshop, Google SketchUp, Lumion, Rendering, Enscape"
Content and Social Media Marketing,Iron Lady,Bangalore,"₹ 14,000 - 15,000 /month","Social Media Marketing, Content Writing, Facebook Marketing, Content Management, Content Marketing, LinkedIn Marketing, Instagram Marketing"
GTM,Goodera,Bangalore,"₹ 18,000 - 20,000 /month","Content Writing, Search Engine Optimization (SEO), Market research, Marketing"
Content Writing,Brandshark,Bangalore,"₹ 10,000 /month","Blogging, Search Engine Optimization (SEO), Creative Writing, English Proficiency (Spoken), English Proficiency (Written)"
Subject Matter Expert-Maths,QA Solvers,Work from home,"₹ 10,000 - 20,000 /month","LaTeX, Effective Communication"
Content Writing,Goodera,Bangalore,"₹ 15,000 - 20,000 /month","Social Media Marketing, Blogging, Search Engine Optimization (SEO), Creative Writing, English Proficiency (Written)"
Event Management,Breakout,Bangalore,"₹ 10,000 - 15,000 /month","English Proficiency (Spoken), Anchoring, Effective Communication"
Digital Marketing,Envision Next LLP,"Thane, Navi Mumbai, Mumbai, Panvel","₹ 10,000 - 15,000 /month","Social Media Marketing, MS-Office, Content Writing, Google Analytics, Search Engine Marketing (SEM), Digital Marketing, Google AdWords"
Event Management,Strategic Engagement And Event Solutions (SEES),Delhi,"₹ 12,000 /month","MS-Office, Event Management, Project Management, Presentation skills, Operations, Vendor Management, MS-Excel"
Influencer Marketing,Ink Revenue,Gurgaon,"₹ 15,000 /month","Social Media Marketing, Leadership, Influencer Marketing, Collaboration"
International Business Development,APOGEE Sourcing,Gurgaon,"₹ 16,000 - 21,000 /month","MS-Office, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written)"
HR Assistant,HNS Gold Private Limited,Bangalore,"₹ 20,000 - 25,000 /month","Recruitment, MS-Excel, Talent Management, Effective Communication"
Social Media Marketing,The Design Cart,"Faridabad, Delhi, Ghaziabad, Gurgaon, Noida","₹ 6,000 - 10,000 /month","Social Media Marketing, Adobe Photoshop, Photography, Video Making, English Proficiency (Spoken), English Proficiency (Written), Canva"
General Management,The Product Folks,Ahmedabad,"₹ 5,000 - 10,000 /month","English Proficiency (Spoken), English Proficiency (Written)"
Content and Social Media Marketing,Game Changers TexFab Private Limited,Gurgaon,"₹ 10,000 - 15,000 /month","Adobe Photoshop, Adobe Illustrator, Creative Thinking, Analytical Thinking, MS-Excel, Canva, Creative Direction"
Designer – UI/UX,Stirring Minds,"Faridabad, Delhi, Ghaziabad, Noida","₹ 8,000 - 10,000 /month","User Interface (UI) Development, Problem Solving, UI & UX Design, Prototyping, UX Research, Teamwork, Design Thinking"
Customer Support (Noida),Blue Rose Publishers,Noida,"₹ 10,000 - 13,000 /month","Negotiation, Problem Solving, Client Relationship, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)"
Recruitment,P.R. GLolinks Consulting,Chennai,"₹ 12,000 /month","MS-Office, Typing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Social Media And Content Creation,Pilgrim,Mumbai,"₹ 10,000 - 12,000 /month","Content Management, Canva"
Digital Illustrator,Internshala,Gurgaon,"₹ 18,000 /month","Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Figma"
Video Editing/Making,Zero Latency India,Mumbai,"₹ 6,000 - 10,000 /month","Video Editing, Digital Marketing, Video Making, Instagram Marketing"
PHP Development,InstaWeb Labs Private Limited,Mumbai,"₹ 10,000 - 15,000 /month","PHP, MySQL, HTML, Laravel, REST API"
Tally Accountant,Next Step Talents Private Limited,"Kolkata, New Town","₹ 3,000 - 5,000 /month","Tally, MS-Excel, Enterprise Resource Planning(ERP)"
Human Resources (HR),White & Co,Coimbatore,"₹ 5,000 - 5,001 /month","MS-Office, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), ChatGPT"
Blockchain Development,SortWind Private Limited,Work from home,"₹ 5,000 /month","PHP, MySQL, HTML, CSS, JavaScript, Python, MongoDB"
Yoga Teacher,Ekam Yoga,Jaipur,"₹ 5,000 - 25,000 /month",Effective Communication
Business Development (Sales),BNM Business Solutions LLP,"Navi Mumbai, Mumbai","₹ 30,000 - 40,000 /month","Negotiation, Client Interaction, Client Relationship, English Proficiency (Spoken), Effective Communication"
Graphic Design,Eka Studio By Sana,Delhi,"₹ 11,000 - 17,000 /month","Content Writing, Adobe Photoshop, CorelDRAW, Adobe Illustrator, Adobe Premiere Pro, Adobe Creative Suite, Search Engine Optimization (SEO)"
CAD Design,OMNIDYA TECH LLP,Ahmedabad,"₹ 10,001 - 20,000 /month","AutoCAD, SolidWorks, Catia, Robotics, Autodesk 3ds Max, 3D Printing, CNC"
Cinematography,Iblix Digital,Kolkata,"₹ 4,000 - 7,000 /month","Videography, Video Making"
Graphic Design,ViralChilly,Jaipur,"₹ 6,000 - 8,000 /month","Adobe Photoshop, CorelDRAW, Adobe Illustrator, Video Editing"
Business Development (Sales),Twocorex (OPC) Private Limited,"Thane, Navi Mumbai, Mumbai","₹ 10,000 - 20,000 /month","English Proficiency (Spoken), Sales"
Digital Marketing,Deva Developers,Kolkata,"₹ 15,000 - 18,000 /month","Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Email Marketing, MS-Excel"
Talent Acquisition,ViralChilly,Jaipur,"₹ 3,000 - 5,000 /month","MS-Office, Recruitment, MS-Word, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Business Development (Sales),EMIAC Technologies,Jaipur,"₹ 5,000 - 7,000 /month","Presentation skills, Time Management, Market research, Effective Communication"
SEO,EMIAC Technologies,Jaipur,"₹ 5,000 - 7,000 /month","Google Analytics, Digital Marketing, Search Engine Optimization (SEO), Effective Communication"
Business Development (Sales),ViralChilly,Jaipur,"₹ 3,000 - 5,000 /month","Email Marketing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Effective Communication"
Architecture,Afforestt Eco Services Private Limited,Kashipur,"₹ 5,000 /month","AutoCAD, Google SketchUp"
Lead Generation,EMIAC Technologies,Jaipur,"₹ 5,000 - 7,000 /month","Social Media Marketing, Digital Marketing, Time Management, LinkedIn Marketing, Market research"
