title,company,location,stipend,skills
Digital Marketing,Paracoat Products Limited,Gurgaon,"₹ 10,000 /month","Google Analytics, Search Engine Marketing (SEM), Digital Marketing, Google AdWords, Facebook Ads, Effective Communication, Instagram Ads"
Business Development (Sales),LingoAce,Work from home,"₹ 20,000 - 76,000 /month","Client Interaction, Client Relationship, English Proficiency (Spoken), Sales, Customer Acquisition"
Recruitment Consultant,P&M,Gurgaon,"₹ 8,000 - 10,000 /month","Client Relationship, English Proficiency (Spoken), English Proficiency (Written)"
Social Media Marketing,Permeshwar Fashion Impex,Mumbai,"₹ 10,000 - 15,000 /month","Social Media Marketing, Content Writing, Digital Marketing, Facebook Marketing, Creative Writing, Email Marketing, Instagram Marketing"
Electronics Engineering,VIZON,Dehradun,"₹ 12,000 - 28,000 /month","Linux, ARM Microcontroller, Embedded Systems, Circuit Design, C Programming, PCB Design, Autodesk Fusion 360"
Category,Indian Gifts Portal,Mumbai,"₹ 12,000 - 15,000 /month",Merchandising
Telecalling,AECC Global,"Delhi, Gurgaon","₹ 15,000 /month","English Proficiency (Spoken), English Proficiency (Written)"
Graphic Design,Paracoat Products Limited,"Gurgaon, Delhi, Noida","₹ 10,000 /month","Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Canva, Effective Communication, Graphic Design"
Digital Marketing,Pulse Pharmaceuticals,Hyderabad,"₹ 15,000 - 20,000 /month","Social Media Marketing, Content Writing, Google Analytics, Search Engine Marketing (SEM), Video Editing, Digital Marketing, Search Engine Optimization (SEO)"
Marketing,Invensis Technologies,Bangalore,"₹ 10,000 - 15,000 /month","MS-Office, Content Writing, Data Analytics, Search Engine Optimization (SEO), Email Marketing, MS-Excel, Content Management"
Career Counsellor,Moople Institute Of Animation And Design,Kolkata,"₹ 7,500 - 15,000 /month",Bengali Proficiency (Spoken)
Export Sales & Marketing,Paracoat Products Limited,Gurgaon,"₹ 10,000 /month","Time Management, Market Analysis, MS-Excel, Lead Generation, Client Relationship, English Proficiency (Spoken), English Proficiency (Written)"
Subject Matter Expert (SME) Maths,Arihant Publications,"Delhi, Ghaziabad, Noida","₹ 10,000 - 12,000 /month","MS-Office, Content Writing, Mathematics, English Proficiency (Spoken), English Proficiency (Written)"
